"id","constructorId","name","fullName"
"brabham-bt26a","brabham","BT26A","Brabham BT26A"
"brabham-bt3","brabham","BT3","Brabham BT3"
"brabham-bt30","brabham","BT30","Brabham BT30"
"brabham-bt33","brabham","BT33","Brabham BT33"
"brabham-bt34","brabham","BT34","Brabham BT34"
"brabham-bt37","brabham","BT37","Brabham BT37"
"brabham-bt42","brabham","BT42","Brabham BT42"
"brabham-bt44","brabham","BT44","Brabham BT44"
"brabham-bt44b","brabham","BT44B","Brabham BT44B"
"brabham-bt45","brabham","BT45","Brabham BT45"
"brabham-bt45b","brabham","BT45B","Brabham BT45B"
"brabham-bt45c","brabham","BT45C","Brabham BT45C"
"brabham-bt46","brabham","BT46","Brabham BT46"
"brabham-bt46b","brabham","BT46B","Brabham BT46B"
"brabham-bt46c","brabham","BT46C","Brabham BT46C"
"brabham-bt48","brabham","BT48","Brabham BT48"
"brabham-bt49","brabham","BT49","Brabham BT49"
"brabham-bt49c","brabham","BT49C","Brabham BT49C"
"brabham-bt49d","brabham","BT49D","Brabham BT49D"
"brabham-bt50","brabham","BT50","Brabham BT50"
"brabham-bt52","brabham","BT52","Brabham BT52"
"brabham-bt52b","brabham","BT52B","Brabham BT52B"
"brabham-bt53","brabham","BT53","Brabham BT53"
"brabham-bt54","brabham","BT54","Brabham BT54"
"brabham-bt55","brabham","BT55","Brabham BT55"
"brabham-bt56","brabham","BT56","Brabham BT56"
"brabham-bt58","brabham","BT58","Brabham BT58"
"brabham-bt59","brabham","BT59","Brabham BT59"
"brabham-bt59y","brabham","BT59Y","Brabham BT59Y"
"brabham-bt6","brabham","BT6","Brabham BT6"
"brabham-bt60b","brabham","BT60B","Brabham BT60B"
"brabham-bt60y","brabham","BT60Y","Brabham BT60Y"
"brabham-bt7","brabham","BT7","Brabham BT7"
"brawn-bgp-001","brawn","BGP 001","Brawn BGP 001"
"brm-p115","brm","P115","BRM P115"
"brm-p126","brm","P126","BRM P126"
"brm-p133","brm","P133","BRM P133"
"brm-p138","brm","P138","BRM P138"
"brm-p139","brm","P139","BRM P139"
"brm-p15","brm","P15","BRM P15"
"brm-p153","brm","P153","BRM P153"
"brm-p160","brm","P160","BRM P160"
"brm-p160b","brm","P160B","BRM P160B"
"brm-p160c","brm","P160C","BRM P160C"
"brm-p160d","brm","P160D","BRM P160D"
"brm-p160e","brm","P160E","BRM P160E"
"brm-p180","brm","P180","BRM P180"
"brm-p201","brm","P201","BRM P201"
"brm-p201b","brm","P201B","BRM P201B"
"brm-p207","brm","P207","BRM P207"
"brm-p25","brm","P25","BRM P25"
"brm-p261","brm","P261","BRM P261"
"brm-p48-57","brm","P48/57","BRM P48/57"
"brm-p48","brm","P48","BRM P48"
"brm-p57","brm","P57","BRM P57"
"brm-p61","brm","P61","BRM P61"
"brm-p67","brm","P67","BRM P67"
"brm-p83","brm","P83","BRM P83"
"bromme","bromme","Bromme","Bromme"
"brp-mk-1","brp","Mk 1","BRP Mk 1"
"brp-mk-2","brp","Mk 2","BRP Mk 2"
"bugatti-t251","bugatti","T251","Bugatti T251"
"caterham-ct01","caterham","CT01","Caterham CT01"
"caterham-ct03","caterham","CT03","Caterham CT03"
"caterham-ct05","caterham","CT05","Caterham CT05"
"christensen","christensen","Christensen","Christensen"
"cisitalia-d46","cisitalia","D46","Cisitalia D46"
"coloni-c3","coloni","C3","Coloni C3"
"coloni-c3b","coloni","C3B","Coloni C3B"
"coloni-c3c","coloni","C3C","Coloni C3C"
"coloni-c4","coloni","C4","Coloni C4"
"coloni-fc187","coloni","FC187","Coloni FC187"
"coloni-fc188","coloni","FC188","Coloni FC188"
"coloni-fc188b","coloni","FC188B","Coloni FC188B"
"connaught-a","connaught","A","Connaught A"
"connaught-b","connaught","B","Connaught B"
"connaught-c","connaught","C","Connaught C"
"connew-pc1","connew","PC1","Connew PC1"
"cooper-special","cooper","Special","Cooper Special"
"cooper-t12","cooper","T12","Cooper T12"
"cooper-t20","cooper","T20","Cooper T20"
"cooper-t23","cooper","T23","Cooper T23"
"cooper-t24","cooper","T24","Cooper T24"
"cooper-t40","cooper","T40","Cooper T40"
"cooper-t41","cooper","T41","Cooper T41"
"cooper-t43","cooper","T43","Cooper T43"
"cooper-t44","cooper","T44","Cooper T44"
"cooper-t45","cooper","T45","Cooper T45"
"cooper-t51","cooper","T51","Cooper T51"
"cooper-t53","cooper","T53","Cooper T53"
"cooper-t55","cooper","T55","Cooper T55"
"cooper-t58","cooper","T58","Cooper T58"
"cooper-t59","cooper","T59","Cooper T59"
"cooper-t60","cooper","T60","Cooper T60"
"cooper-t66","cooper","T66","Cooper T66"
"cooper-t71-73","cooper","T71/73","Cooper T71/73"
"cooper-t73","cooper","T73","Cooper T73"
"cooper-t77","cooper","T77","Cooper T77"
"cooper-t79","cooper","T79","Cooper T79"
"cooper-t81","cooper","T81","Cooper T81"
"cooper-t81b","cooper","T81B","Cooper T81B"
"cooper-t82","cooper","T82","Cooper T82"
"cooper-t86","cooper","T86","Cooper T86"
"cooper-t86b","cooper","T86B","Cooper T86B"
"dallara-3087","dallara","3087","Dallara 3087"
"dallara-f188","dallara","F188","Dallara F188"
"dallara-f189","dallara","F189","Dallara F189"
"dallara-f190","dallara","F190","Dallara F190"
"dallara-f191","dallara","F191","Dallara F191"
"dallara-f192","dallara","F192","Dallara F192"
"de-tomaso-505-38","de-tomaso","505/38","De Tomaso 505/38"
"de-tomaso-801","de-tomaso","801","De Tomaso 801"
"de-tomaso-f1-001","de-tomaso","F1/001","De Tomaso F1/001"
"de-tomaso-f1-002","de-tomaso","F1/002","De Tomaso F1/002"
"de-tomaso-f1-003","de-tomaso","F1/003","De Tomaso F1/003"
"de-tomaso-f1-004","de-tomaso","F1/004","De Tomaso F1/004"
"deidt-tuffanelli-derrico","deidt","Tuffanelli Derrico","Deidt Tuffanelli Derrico"
"del-roy","del-roy","Del Roy","Del Roy"
"derrington-francis-df","derrington-francis","DF","Derrington-Francis DF"
"dunn","dunn","Dunn","Dunn"
"eagle-mk-1","eagle","Mk 1","Eagle Mk 1"
"eagle-t1f","eagle","T1F","Eagle T1F"
"eagle-t1g","eagle","T1G","Eagle T1G"
"eifelland-21","eifelland","21","Eifelland 21"
"elder","elder","Elder","Elder"
"emeryson-56","emeryson","56","Emeryson 56"
"emeryson-61","emeryson","61","Emeryson 61"
"emw-r2","emw","R2","EMW R2"
"enb-f1","enb","F1","ENB F1"
"ensign-n173","ensign","N173","Ensign N173"
"ensign-n174","ensign","N174","Ensign N174"
"ensign-n175","ensign","N175","Ensign N175"
"ensign-n176","ensign","N176","Ensign N176"
"ensign-n177","ensign","N177","Ensign N177"
"ensign-n179","ensign","N179","Ensign N179"
"ensign-n180","ensign","N180","Ensign N180"
"ensign-n180b","ensign","N180B","Ensign N180B"
"ensign-n181","ensign","N181","Ensign N181"
"epperly-indy-roadster","epperly","Indy Roadster","Epperly Indy Roadster"
"era-a","era","A","ERA A"
"era-b","era","B","ERA B"
"era-e","era","E","ERA E"
"era-g","era","G","ERA G"
"eurobrun-er188","eurobrun","ER188","EuroBrun ER188"
"eurobrun-er188b","eurobrun","ER188B","EuroBrun ER188B"
"eurobrun-er189","eurobrun","ER189","EuroBrun ER189"
"eurobrun-er189b","eurobrun","ER189B","EuroBrun ER189B"
"ewing","ewing","Ewing","Ewing"
"ferguson-p99","ferguson","P99","Ferguson P99"
"ferrari-125","ferrari","125","Ferrari 125"
"ferrari-126c2","ferrari","126C2","Ferrari 126C2"
"ferrari-126c2b","ferrari","126C2B","Ferrari 126C2B"
"ferrari-126c3","ferrari","126C3","Ferrari 126C3"
"ferrari-126c4","ferrari","126C4","Ferrari 126C4"
"ferrari-126ck","ferrari","126CK","Ferrari 126CK"
"ferrari-150-italia","ferrari","150° Italia","Ferrari 150° Italia"
"ferrari-1512","ferrari","1512","Ferrari 1512"
"ferrari-156-85","ferrari","156/85","Ferrari 156/85"
"ferrari-156","ferrari","156","Ferrari 156"
"ferrari-158","ferrari","158","Ferrari 158"
"ferrari-166","ferrari","166","Ferrari 166"
"ferrari-166s","ferrari","166S","Ferrari 166S"
"ferrari-212","ferrari","212","Ferrari 212"
"ferrari-246-p","ferrari","246 P","Ferrari 246 P"
"ferrari-246","ferrari","246","Ferrari 246"
"ferrari-248-f1","ferrari","248 F1","Ferrari 248 F1"
"ferrari-275","ferrari","275","Ferrari 275"
"ferrari-312-66","ferrari","312/66","Ferrari 312/66"
"ferrari-312-67-68","ferrari","312/67/68","Ferrari 312/67/68"
"ferrari-312-67","ferrari","312/67","Ferrari 312/67"
"ferrari-312-68","ferrari","312/68","Ferrari 312/68"
"ferrari-312-69","ferrari","312/69","Ferrari 312/69"
"ferrari-312b","ferrari","312B","Ferrari 312B"
"ferrari-312b2","ferrari","312B2","Ferrari 312B2"
"ferrari-312b3-74","ferrari","312B3-74","Ferrari 312B3-74"
"ferrari-312b3","ferrari","312B3","Ferrari 312B3"
"ferrari-312t","ferrari","312T","Ferrari 312T"
"ferrari-312t2","ferrari","312T2","Ferrari 312T2"
"ferrari-312t2b","ferrari","312T2B","Ferrari 312T2B"
"ferrari-312t3","ferrari","312T3","Ferrari 312T3"
"ferrari-312t4","ferrari","312T4","Ferrari 312T4"
"ferrari-312t4b","ferrari","312T4B","Ferrari 312T4B"
"ferrari-312t5","ferrari","312T5","Ferrari 312T5"
"ferrari-375","ferrari","375","Ferrari 375"
"ferrari-375s","ferrari","375S","Ferrari 375S"
"ferrari-412t1","ferrari","412T1","Ferrari 412T1"
"ferrari-412t1b","ferrari","412T1B","Ferrari 412T1B"
"ferrari-412t2","ferrari","412T2","Ferrari 412T2"
"ferrari-500","ferrari","500","Ferrari 500"
"ferrari-553","ferrari","553","Ferrari 553"
"ferrari-555","ferrari","555","Ferrari 555"
"ferrari-625","ferrari","625","Ferrari 625"
"ferrari-640","ferrari","640","Ferrari 640"
"ferrari-641","ferrari","641","Ferrari 641"
"ferrari-642-2","ferrari","642/2","Ferrari 642/2"
"ferrari-642","ferrari","642","Ferrari 642"
"ferrari-643","ferrari","643","Ferrari 643"
"ferrari-801","ferrari","801","Ferrari 801"
"ferrari-f1-2000","ferrari","F1-2000","Ferrari F1-2000"
"ferrari-f1-75","ferrari","F1-75","Ferrari F1-75"
"ferrari-f1-86","ferrari","F1/86","Ferrari F1/86"
"ferrari-f1-87-88c","ferrari","F1/87/88C","Ferrari F1/87/88C"
"ferrari-f1-87","ferrari","F1/87","Ferrari F1/87"
"ferrari-f10","ferrari","F10","Ferrari F10"
"ferrari-f138","ferrari","F138","Ferrari F138"
"ferrari-f14-t","ferrari","F14 T","Ferrari F14 T"
"ferrari-f2001","ferrari","F2001","Ferrari F2001"
"ferrari-f2001b","ferrari","F2001B","Ferrari F2001B"
"ferrari-f2002","ferrari","F2002","Ferrari F2002"
"ferrari-f2002b","ferrari","F2002B","Ferrari F2002B"
"ferrari-f2003-ga","ferrari","F2003-GA","Ferrari F2003-GA"
"ferrari-f2004","ferrari","F2004","Ferrari F2004"
"ferrari-f2004m","ferrari","F2004M","Ferrari F2004M"
"ferrari-f2005","ferrari","F2005","Ferrari F2005"
"ferrari-f2007","ferrari","F2007","Ferrari F2007"
"ferrari-f2008","ferrari","F2008","Ferrari F2008"
"ferrari-f2012","ferrari","F2012","Ferrari F2012"
"ferrari-f300","ferrari","F300","Ferrari F300"
"ferrari-f310","ferrari","F310","Ferrari F310"
"ferrari-f310b","ferrari","F310B","Ferrari F310B"
"ferrari-f399","ferrari","F399","Ferrari F399"
"ferrari-f60","ferrari","F60","Ferrari F60"
"ferrari-f92a","ferrari","F92A","Ferrari F92A"
"ferrari-f92at","ferrari","F92AT","Ferrari F92AT"
"ferrari-f93a","ferrari","F93A","Ferrari F93A"
"ferrari-sf-23","ferrari","SF-23","Ferrari SF-23"
"ferrari-sf-24","ferrari","SF-24","Ferrari SF-24"
"ferrari-sf-25","ferrari","SF-25","Ferrari SF-25"
"ferrari-sf1000","ferrari","SF1000","Ferrari SF1000"
"ferrari-sf15-t","ferrari","SF15-T","Ferrari SF15-T"
"ferrari-sf16-h","ferrari","SF16-H","Ferrari SF16-H"
"ferrari-sf21","ferrari","SF21","Ferrari SF21"
"ferrari-sf70h","ferrari","SF70H","Ferrari SF70H"
"ferrari-sf71h","ferrari","SF71H","Ferrari SF71H"
"ferrari-sf90","ferrari","SF90","Ferrari SF90"
"first-f189","first","F189","FIRST F189"
"fittipaldi-f5","fittipaldi","F5","Fittipaldi F5"
"fittipaldi-f5a","fittipaldi","F5A","Fittipaldi F5A"
"fittipaldi-f6","fittipaldi","F6","Fittipaldi F6"
"fittipaldi-f6a","fittipaldi","F6A","Fittipaldi F6A"
"fittipaldi-f7","fittipaldi","F7","Fittipaldi F7"
"fittipaldi-f8","fittipaldi","F8","Fittipaldi F8"
"fittipaldi-f8c","fittipaldi","F8C","Fittipaldi F8C"
"fittipaldi-f8d","fittipaldi","F8D","Fittipaldi F8D"
"fittipaldi-f9","fittipaldi","F9","Fittipaldi F9"
"fittipaldi-fd01","fittipaldi","FD01","Fittipaldi FD01"
"fittipaldi-fd02","fittipaldi","FD02","Fittipaldi FD02"
"fittipaldi-fd03","fittipaldi","FD03","Fittipaldi FD03"
"fittipaldi-fd04","fittipaldi","FD04","Fittipaldi FD04"
"fondmetal-fa1m-e","fondmetal","FA1M-E","Fondmetal FA1M-E"
"fondmetal-fomet-1","fondmetal","Fomet-1","Fondmetal Fomet-1"
"fondmetal-gr01","fondmetal","GR01","Fondmetal GR01"
"fondmetal-gr02","fondmetal","GR02","Fondmetal GR02"
"footwork-a11c","footwork","A11C","Footwork A11C"
"footwork-fa12","footwork","FA12","Footwork FA12"
"footwork-fa12c","footwork","FA12C","Footwork FA12C"
"footwork-fa13","footwork","FA13","Footwork FA13"
"footwork-fa13b","footwork","FA13B","Footwork FA13B"
"footwork-fa14","footwork","FA14","Footwork FA14"
"footwork-fa15","footwork","FA15","Footwork FA15"
"footwork-fa16","footwork","FA16","Footwork FA16"
"footwork-fa17","footwork","FA17","Footwork FA17"
"force-india-vjm01","force-india","VJM01","Force India VJM01"
"force-india-vjm02","force-india","VJM02","Force India VJM02"
"force-india-vjm03","force-india","VJM03","Force India VJM03"
"force-india-vjm04","force-india","VJM04","Force India VJM04"
"force-india-vjm05","force-india","VJM05","Force India VJM05"
"force-india-vjm06","force-india","VJM06","Force India VJM06"
"force-india-vjm07","force-india","VJM07","Force India VJM07"
"force-india-vjm08","force-india","VJM08","Force India VJM08"
"force-india-vjm08b","force-india","VJM08B","Force India VJM08B"
"force-india-vjm09","force-india","VJM09","Force India VJM09"
"force-india-vjm10","force-india","VJM10","Force India VJM10"
"force-india-vjm11","force-india","VJM11","Force India VJM11"
"forti-fg01","forti","FG01","Forti FG01"
"forti-fg01b","forti","FG01B","Forti FG01B"
"forti-fg03","forti","FG03","Forti FG03"
"frank-williams-racing-cars-fw","frank-williams-racing-cars","FW","Williams FW"
"frank-williams-racing-cars-fw04","frank-williams-racing-cars","FW04","Williams FW04"
"frazer-nash-421","frazer-nash","421","Frazer-Nash 421"
"frazer-nash-fn48","frazer-nash","FN48","Frazer-Nash FN48"
"fry-f2","fry","F2","Fry F2"
"gilby-61","gilby","61","Gilby 61"
"gilby-62","gilby","62","Gilby 62"
"gordini-t15","gordini","T15","Gordini T15"
"gordini-t16","gordini","T16","Gordini T16"
"gordini-t16s","gordini","T16S","Gordini T16S"
"gordini-t32","gordini","T32","Gordini T32"
"greifzu","greifzu","Greifzu","Greifzu"
"haas-vf-16","haas","VF-16","Haas VF-16"
"haas-vf-17","haas","VF-17","Haas VF-17"
"haas-vf-18","haas","VF-18","Haas VF-18"
"haas-vf-19","haas","VF-19","Haas VF-19"
"haas-vf-20","haas","VF-20","Haas VF-20"
"haas-vf-21","haas","VF-21","Haas VF-21"
"haas-vf-22","haas","VF-22","Haas VF-22"
"haas-vf-23","haas","VF-23","Haas VF-23"
"haas-vf-24","haas","VF-24","Haas VF-24"
"haas-vf-25","haas","VF-25","Haas VF-25"
"hall","hall","Hall","Hall"
"heck","heck","Heck","Heck"
"hesketh-308","hesketh","308","Hesketh 308"
"hesketh-308b","hesketh","308B","Hesketh 308B"
"hesketh-308c","hesketh","308C","Hesketh 308C"
"hesketh-308d","hesketh","308D","Hesketh 308D"
"hesketh-308e","hesketh","308E","Hesketh 308E"
"hill-gh1","hill","GH1","Hill GH1"
"honda-ra106","honda","RA106","Honda RA106"
"honda-ra107","honda","RA107","Honda RA107"
"honda-ra108","honda","RA108","Honda RA108"
"honda-ra271","honda","RA271","Honda RA271"
"honda-ra272","honda","RA272","Honda RA272"
"honda-ra273","honda","RA273","Honda RA273"
"honda-ra300","honda","RA300","Honda RA300"
"honda-ra301","honda","RA301","Honda RA301"
"honda-ra302","honda","RA302","Honda RA302"
"hrt-f110","hrt","F110","HRT F110"
"hrt-f111","hrt","F111","HRT F111"
"hrt-f112","hrt","F112","HRT F112"
"hwm-51","hwm","51","HWM 51"
"hwm-52","hwm","52","HWM 52"
"hwm-53","hwm","53","HWM 53"
"iso-marlboro-fw","iso-marlboro","FW","Iso-Marlboro FW"
"iso-marlboro-fx3b","iso-marlboro","FX3B","Iso-Marlboro FX3B"
"iso-marlboro-ir","iso-marlboro","IR","Iso-Marlboro IR"
"jaguar-r1","jaguar","R1","Jaguar R1"
"jaguar-r2","jaguar","R2","Jaguar R2"
"jaguar-r3","jaguar","R3","Jaguar R3"
"jaguar-r3b","jaguar","R3B","Jaguar R3B"
"jaguar-r4","jaguar","R4","Jaguar R4"
"jaguar-r5","jaguar","R5","Jaguar R5"
"jaguar-r5b","jaguar","R5B","Jaguar R5B"
"jbw-59","jbw","59","JBW 59"
"jordan-191","jordan","191","Jordan 191"
"jordan-192","jordan","192","Jordan 192"
"jordan-193","jordan","193","Jordan 193"
"jordan-194","jordan","194","Jordan 194"
"jordan-195","jordan","195","Jordan 195"
"jordan-196","jordan","196","Jordan 196"
"jordan-197","jordan","197","Jordan 197"
"jordan-198","jordan","198","Jordan 198"
"jordan-199","jordan","199","Jordan 199"
"jordan-ej10","jordan","EJ10","Jordan EJ10"
"jordan-ej10b","jordan","EJ10B","Jordan EJ10B"
"jordan-ej11","jordan","EJ11","Jordan EJ11"
"jordan-ej12","jordan","EJ12","Jordan EJ12"
"jordan-ej13","jordan","EJ13","Jordan EJ13"
"jordan-ej14","jordan","EJ14","Jordan EJ14"
"jordan-ej15","jordan","EJ15","Jordan EJ15"
"jordan-ej15b","jordan","EJ15B","Jordan EJ15B"
"kauhsen-wk","kauhsen","WK","Kauhsen WK"
"kick-sauber-c44","kick-sauber","C44","Kick Sauber C44"
"kick-sauber-c45","kick-sauber","C45","Kick Sauber C45"
"klenk-meteor","klenk","Meteor","Klenk Meteor"
"kojima-ke007","kojima","KE007","Kojima KE007"
"kojima-ke009","kojima","KE009","Kojima KE009"
"krakau","krakau","Krakau","Krakau"
"kurtis-kraft-3","kurtis-kraft","3","Kurtis Kraft 3"
"kurtis-kraft-327","kurtis-kraft","327","Kurtis Kraft 327"
"kurtis-kraft-347","kurtis-kraft","347","Kurtis Kraft 347"
"kurtis-kraft-350","kurtis-kraft","350","Kurtis Kraft 350"
"kurtis-kraft-4","kurtis-kraft","4","Kurtis Kraft 4"
"kurtis-kraft-7","kurtis-kraft","7","Kurtis Kraft 7"
"kurtis-kraft-kk1000","kurtis-kraft","KK1000","Kurtis Kraft KK1000"
"kurtis-kraft-kk2000","kurtis-kraft","KK2000","Kurtis Kraft KK2000"
"kurtis-kraft-kk3000","kurtis-kraft","KK3000","Kurtis Kraft KK3000"
"kurtis-kraft-kk4000","kurtis-kraft","KK4000","Kurtis Kraft KK4000"
"kurtis-kraft-kk500","kurtis-kraft","KK500","Kurtis Kraft KK500"
"kurtis-kraft-kk500a","kurtis-kraft","KK500A","Kurtis Kraft KK500A"
"kurtis-kraft-kk500b","kurtis-kraft","KK500B","Kurtis Kraft KK500B"
"kurtis-kraft-kk500c","kurtis-kraft","KK500C","Kurtis Kraft KK500C"
"kurtis-kraft-kk500d","kurtis-kraft","KK500D","Kurtis Kraft KK500D"
"kurtis-kraft-kk500e","kurtis-kraft","KK500E","Kurtis Kraft KK500E"
"kurtis-kraft-kk500f","kurtis-kraft","KK500F","Kurtis Kraft KK500F"
"kurtis-kraft-kk500g","kurtis-kraft","KK500G","Kurtis Kraft KK500G"
"kurtis-kraft-kk500h","kurtis-kraft","KK500H","Kurtis Kraft KK500H"
"kurtis-kraft-kk500j","kurtis-kraft","KK500J","Kurtis Kraft KK500J"
