"parentConstructorId","positionDisplayOrder","constructorId","yearFrom","yearTo"
"honda",4,"brawn",2009,2009
"honda",5,"mercedes",2010,
"iso-marlboro",1,"politoys",1972,1972
"iso-marlboro",2,"iso-marlboro",1973,1974
"iso-marlboro",3,"frank-williams-racing-cars",1975,1975
"iso-marlboro",4,"wolf-williams",1976,1976
"iso-marlboro",5,"wolf",1977,1979
"jaguar",1,"stewart",1997,1999
"jaguar",2,"jaguar",2000,2004
"jaguar",3,"red-bull",2005,
"jordan",1,"jordan",1991,2005
"jordan",2,"midland",2006,2006
"jordan",3,"spyker",2007,2007
"jordan",4,"force-india",2008,2018
"jordan",5,"racing-point",2019,2020
"jordan",6,"aston-martin",2021,
"kick-sauber",1,"sauber",1993,2005
"kick-sauber",2,"bmw-sauber",2006,2010
"kick-sauber",3,"sauber",2011,2018
"kick-sauber",4,"alfa-romeo",2019,2023
"kick-sauber",5,"kick-sauber",2024,
"leyton-house",1,"march",1970,1989
"leyton-house",2,"leyton-house",1990,1991
"leyton-house",3,"march",1992,1992
"ligier",1,"ligier",1976,1996
"ligier",2,"prost",1997,2001
"lotus-f1",1,"toleman",1981,1985
"lotus-f1",2,"benetton",1986,2001
"lotus-f1",3,"renault",2002,2011
"lotus-f1",4,"lotus-f1",2012,2015
"lotus-f1",5,"renault",2016,2020
"lotus-f1",6,"alpine",2021,
"lotus-racing",1,"lotus-racing",2010,2011
"lotus-racing",2,"caterham",2012,2014
"manor",1,"virgin",2010,2011
"manor",2,"marussia",2012,2015
"manor",3,"manor",2016,2016
"march",1,"march",1970,1989
"march",2,"leyton-house",1990,1991
"march",3,"march",1992,1992
"marussia",1,"virgin",2010,2011
"marussia",2,"marussia",2012,2015
"marussia",3,"manor",2016,2016
"mercedes",1,"tyrrell",1970,1998
"mercedes",2,"bar",1999,2005
"mercedes",3,"honda",2006,2008
"mercedes",4,"brawn",2009,2009
"mercedes",5,"mercedes",2010,
"midland",1,"jordan",1991,2005
"midland",2,"midland",2006,2006
"midland",3,"spyker",2007,2007
"midland",4,"force-india",2008,2018
"midland",5,"racing-point",2019,2020
"midland",6,"aston-martin",2021,
"minardi",1,"minardi",1985,2005
"minardi",2,"toro-rosso",2006,2019
"minardi",3,"alphatauri",2020,2023
"minardi",4,"rb",2024,2024
"minardi",5,"racing-bulls",2025,
"osella",1,"osella",1980,1990
"osella",2,"fondmetal",1991,1992
"politoys",1,"politoys",1972,1972
"politoys",2,"iso-marlboro",1973,1974
"politoys",3,"frank-williams-racing-cars",1975,1975
"politoys",4,"wolf-williams",1976,1976
"politoys",5,"wolf",1977,1979
"prost",1,"ligier",1976,1996
"prost",2,"prost",1997,2001
"racing-bulls",1,"minardi",1985,2005
"racing-bulls",2,"toro-rosso",2006,2019
"racing-bulls",3,"alphatauri",2020,2023
"racing-bulls",4,"rb",2024,2024
"racing-bulls",5,"racing-bulls",2025,
"racing-point",1,"jordan",1991,2005
"racing-point",2,"midland",2006,2006
"racing-point",3,"spyker",2007,2007
"racing-point",4,"force-india",2008,2018
"racing-point",5,"racing-point",2019,2020
"racing-point",6,"aston-martin",2021,
"rb",1,"minardi",1985,2005
"rb",2,"toro-rosso",2006,2019
"rb",3,"alphatauri",2020,2023
"rb",4,"rb",2024,2024
"rb",5,"racing-bulls",2025,
"red-bull",1,"stewart",1997,1999
"red-bull",2,"jaguar",2000,2004
"red-bull",3,"red-bull",2005,
"renault",1,"toleman",1981,1985
"renault",2,"benetton",1986,2001
"renault",3,"renault",2002,2011
"renault",4,"lotus-f1",2012,2015
"renault",5,"renault",2016,2020
"renault",6,"alpine",2021,
"sauber",1,"sauber",1993,2005
"sauber",2,"bmw-sauber",2006,2010
"sauber",3,"sauber",2011,2018
"sauber",4,"alfa-romeo",2019,2023
"sauber",5,"kick-sauber",2024,
"spyker",1,"jordan",1991,2005
"spyker",2,"midland",2006,2006
"spyker",3,"spyker",2007,2007
"spyker",4,"force-india",2008,2018
"spyker",5,"racing-point",2019,2020
"spyker",6,"aston-martin",2021,
"stewart",1,"stewart",1997,1999
"stewart",2,"jaguar",2000,2004
"stewart",3,"red-bull",2005,
"toleman",1,"toleman",1981,1985
"toleman",2,"benetton",1986,2001
"toleman",3,"renault",2002,2011
"toleman",4,"lotus-f1",2012,2015
"toleman",5,"renault",2016,2020
"toleman",6,"alpine",2021,
"toro-rosso",1,"minardi",1985,2005
"toro-rosso",2,"toro-rosso",2006,2019
"toro-rosso",3,"alphatauri",2020,2023
"toro-rosso",4,"rb",2024,2024
"toro-rosso",5,"racing-bulls",2025,
"tyrrell",1,"tyrrell",1970,1998
"tyrrell",2,"bar",1999,2005
"tyrrell",3,"honda",2006,2008
"tyrrell",4,"brawn",2009,2009
"tyrrell",5,"mercedes",2010,
"virgin",1,"virgin",2010,2011
"virgin",2,"marussia",2012,2015
"virgin",3,"manor",2016,2016
"wolf-williams",1,"politoys",1972,1972
"wolf-williams",2,"iso-marlboro",1973,1974
"wolf-williams",3,"frank-williams-racing-cars",1975,1975
"wolf-williams",4,"wolf-williams",1976,1976
"wolf-williams",5,"wolf",1977,1979
"wolf",1,"politoys",1972,1972
"wolf",2,"iso-marlboro",1973,1974
"wolf",3,"frank-williams-racing-cars",1975,1975
"wolf",4,"wolf-williams",1976,1976
"wolf",5,"wolf",1977,1979
